compound, mp-id, spacegroup, mineral-prototype
NaNbO3,mp-4748,Cmcm,Orthorhombic Perovskite
NaNbO3,mp-558920,Pca2_1,Orthorhombic Perovskite
RbPdF3,mp-9060,Pm-3m,(Cubic) Perovskite
TlBS3,mp-28809,P2_1/c,None
AlFeO3,mp-21216,Pna2_1,None
BaFeO3,mp-1192651,P6_3/mmc,(Cubic) Perovskite
BaFeO3,mp-19035,Pm-3m,(Cubic) Perovskite
NaSbO3,mp-20011,Fd-3m,None
NaSbO3,mp-22212,Pnma,Orthorhombic Perovskite
NaSbO3,mp-4482,R-3,Ilmenite
CsFeCl3,mp-29400,P6_3/mmc,None
YFeO3,mp-20783,Pnma,Orthorhombic Perovskite
NaMgF3,mp-12948,Cmcm,None
NaMgF3,mp-2955,Pnma,Orthorhombic Perovskite
NaMgF3,mp-560399,Pm-3m,(Cubic) Perovskite
RbCuF3,mp-8858,I4/mcm,None
CrPSe3,mp-1101069,C2/m,None
TlIO3,mp-22981,R3m,Tetraauricupride
TlIO3,mp-546200,Pm-3m,(Cubic) Perovskite
PPbSe3,mp-20316,P2_1/c,None
CsAuCl3,mp-23026,Pm-3m,(Cubic) Perovskite
CsAuCl3,mp-23484,I4/mmm,None
CsPS3,mp-504838,Immm,None
LiOsO3,mp-1078188,R-3c,Calcite
LiOsO3,mp-1078358,R3c,Ilmenite
SnPS3,mp-1079752,R-3,None
SnPS3,mp-1080140,C2/m,None
SnPS3,mp-13923,Pc,None
SnPS3,mp-4252,P2_1/c,None
CsCaF3,mp-7104,Pm-3m,(Cubic) Perovskite
CuPS3,mp-1105187,P4_2/mnm,None
CaCO3,mp-1079918,P-1,None
CaCO3,mp-1194399,C2/c,Calcite
CaCO3,mp-1197230,P-1,None
CaCO3,mp-1197939,P-1,None
CaCO3,mp-3205,Pmmn,None
CaCO3,mp-3953,R-3c,Calcite
CaCO3,mp-4626,Pnma,None
CaCO3,mp-548403,C222_1,None
CaCO3,mp-553939,Pnma,Calcite
CaCO3,mp-556235,P2_1/c,Calcite
CaCO3,mp-561412,C2,Calcite
SrTeO3,mp-1179320,P-1,None
SrTeO3,mp-561385,C2,None
SrTeO3,mp-662523,P1,None
SrTeO3,mp-972117,P2_1/c,None
CsPbBr3,mp-567629,Pnma,Orthorhombic Perovskite
CsPbBr3,mp-567681,Pnma,None
CsPbBr3,mp-600089,Pm-3m,(Cubic) Perovskite
ZnPbO3,mp-1078329,R3c,Ilmenite
RbPS3,mp-556953,Immm,None
SnPSe3,mp-570370,Pc,None
SnPSe3,mp-5706,P2_1/c,None
TlSbO3,mp-30058,R-3,None
TlSbO3,mp-561465,P6_322,None
LiNbO3,mp-1078377,R-3,Ilmenite
LiNbO3,mp-3731,R3c,Calcite
LiNbO3,mp-552588,R-3c,Hydrophilite
SrRuO3,mp-1079352,Cmcm,None
SrRuO3,mp-1192792,Pnma,Indium
SrRuO3,mp-22390,Pnma,Orthorhombic Perovskite
SrRuO3,mp-4346,Pm-3m,(Cubic) Perovskite
SrRuO3,mp-4525,I4/mcm,None
SrRuO3,mp-611033,Pnma,None
CdTcO3,mp-1189706,Pnma,Orthorhombic Perovskite
CuAgF3,mp-1188802,P-1,Orthorhombic Perovskite
CaMoO3,mp-19012,Pnma,Orthorhombic Perovskite
CsAlTe3,mp-1189272,P2_1/c,None
NbAgO3,mp-1203481,Pmc2_1,None
NbAgO3,mp-1205362,Cmcm,Orthorhombic Perovskite
NbAgO3,mp-12725,Pm-3m,(Cubic) Perovskite
NbAgO3,mp-5537,Pbcm,Pb (Zr_0.50 Ti_0.48) O_3
KMgF3,mp-3448,Pm-3m,(Cubic) Perovskite
NaIO3,mp-22989,Pnma,None
NaIO3,mp-545825,Cmmm,None
NaIO3,mp-559252,Pna2_1,None
LiVO3,mp-19373,C2/c,None
TlPS3,mp-8249,Immm,Indium
YMnO3,mp-19227,P6_3/mmc,None
YMnO3,mp-19385,P6_3cm,None
YMnO3,mp-20699,Pnma,Orthorhombic Perovskite
LiAsO3,mp-559767,C2/c,None
LiAsO3,mp-9657,R-3,Ilmenite
CaSiO3,mp-17552,C2/c,None
CaSiO3,mp-3382,P4/mbm,(Cubic) Perovskite
CaSiO3,mp-3387,I4/mcm,None
CaSiO3,mp-4428,P-1,Esseneite
CaSiO3,mp-4429,P-1,None
CaSiO3,mp-5096,Imma,None
CaSiO3,mp-560885,Pnma,None
CaSiO3,mp-561086,C2/c,None
CaSiO3,mp-5733,P2_1/c,None
CaSiO3,mp-5893,Pm-3m,(Cubic) Perovskite
CaSiO3,mp-649676,P2_1/c,None
RbVBr3,mp-29314,P6_3cm,None
RbVBr3,mp-568136,P-3c1,None
RbVBr3,mp-570099,P6_3/mmc,None
CsSnBr3,mp-27214,Pm-3m,(Cubic) Perovskite
TePbO3,mp-543039,C2/c,None
TePbO3,mp-555021,P4_1,None
BaVS3,mp-3451,Cmc2_1,None
BaVS3,mp-4227,P6_3/mmc,None
BaVS3,mp-555857,C222_1,None
AgTe3I,mp-570431,Pmna,None
CsCaH3,mp-644203,Pm-3m,(Cubic) Perovskite
RbPSe3,mp-571464,P3_121,None
VPbO3,mp-1070440,Pm-3m,(Cubic) Perovskite
VPbO3,mp-20032,P4mm,None
RbVCl3,mp-23319,P6_3/mmc,None
CClF3,mp-28473,Cmc2_1,Silicon tetrafluoride
KMnBr3,mp-29636,Pnma,None
HgNO3,mp-1197269,P4_132,None
HgNO3,mp-542289,P2_1,Indium
MnSiO3,mp-17766,P2_1/c,None
MnSiO3,mp-560199,P-1,None
MnSiO3,mp-5945,P-1,None
KPSe3,mp-569702,P3_1,None
KPSe3,mp-571452,P3_121,None
VBO3,mp-18946,R-3c,Calcite
AgSe3I,mp-569052,Pmna,None
RbCuCl3,mp-23055,Pbcn,None
RbCuCl3,mp-568857,C2/c,None
RbCuCl3,mp-569526,P6_3/mmc,None
RbCuCl3,mp-571305,C2,None
ZrSnS3,mp-17324,Pnma,trigonal omega
TlNiO3,mp-1178989,P2_1/c,Orthorhombic Perovskite
TlNiO3,mp-18001,Pnma,Orthorhombic Perovskite
CsCrBr3,mp-27179,P6_3mc,None
AlBO3,mp-8110,R-3c,Calcite
RbNbO3,mp-3283,P-1,None
RbSnF3,mp-1198796,P2_1/c,None
KIrO3,mp-639811,Pn-3,None
MnTlCl3,mp-30528,Pnma,Orthorhombic Perovskite
MnTlCl3,mp-570290,Pm-3m,(Cubic) Perovskite
MnTlCl3,mp-570300,Pnma,None
KMnF3,mp-1205353,Imma,None
KMnF3,mp-555123,Pm-3m,(Cubic) Perovskite
KMnF3,mp-555359,I4/mcm,None
KMnF3,mp-558046,Pnma,Orthorhombic Perovskite
KMnF3,mp-560382,P4/mbm,(Cubic) Perovskite
KMnF3,mp-644332,P2_1/m,(Cubic) Perovskite
SrMnO3,mp-1017466,Pmmm,(Cubic) Perovskite
SrMnO3,mp-1193101,P6_3/mmc,(Cubic) Perovskite
SrMnO3,mp-19001,P6_3/mmc,(Cubic) Perovskite
SrMnO3,mp-559975,C222_1,None
FeBiO3,mp-1069079,P4mm,None
FeBiO3,mp-22949,R3m,Pb (Zr_0.50 Ti_0.48) O_3
FeBiO3,mp-23501,R3c,Ilmenite
FeBiO3,mp-547069,Cmcm,(Cubic) Perovskite
FeBiO3,mp-548231,R3,Ilmenite
FeBiO3,mp-551451,P1,None
FeBiO3,mp-645159,Pnma,Orthorhombic Perovskite
TiBO3,mp-9716,R-3c,Calcite
BaTeS3,mp-27499,Pnma,None
CsSnCl3,mp-1070375,Pm-3m,(Cubic) Perovskite
CsSnCl3,mp-27394,P2_1/c,None
TlCdCl3,mp-28218,Pnma,None
KNO3,mp-5158,Pnma,None
KNO3,mp-672644,Pnma,None
KNO3,mp-6920,R3m,None
KNO3,mp-9475,Pnma,None
MoNCl3,mp-23396,P-1,None
MnGeO3,mp-1106201,C2/c,None
MnGeO3,mp-20798,R-3,Ilmenite
MnGeO3,mp-643577,Pbca,None
CrSbSe3,mp-15236,Pnma,None
H3CI,mp-1181198,Pnma,Ammonia
KSbO3,mp-14607,Pn-3,None
KSbO3,mp-16293,Fd-3m,None
KSbO3,mp-547792,R-3,Ilmenite
CsSnI3,mp-27381,Pnma,None
CsSnI3,mp-568570,Pnma,Orthorhombic Perovskite
CsSnI3,mp-614013,Pm-3m,(Cubic) Perovskite
CsSnI3,mp-616378,P4/mbm,None
NaBrO3,mp-23339,P2_13,None
NaBrO3,mp-608595,P1,None
TaAgS3,mp-561242,Cmc2_1,None
TaAgS3,mp-5821,Cmcm,None
AgTeO3,mp-558637,P2_1/c,None
AgTeO3,mp-559257,P2_1/c,None
AgTeO3,mp-561489,P2_1/m,None
GaBO3,mp-1078259,R-3c,Calcite
HgPS3,mp-27178,P-1,None
ZnPS3,mp-3342,C2/m,None
NaCaH3,mp-1078750,P-1,None
NaCaH3,mp-1078933,R3c,Ilmenite
CdSnO3,mp-754329,R-3,Ilmenite
CdSnO3,mp-849371,Pnma,Orthorhombic Perovskite
SnPbS3,mp-1188095,Pnma,None
CaZrO3,mp-4571,Pnma,Orthorhombic Perovskite
CaZrO3,mp-542112,Pm-3m,(Cubic) Perovskite
PdSeO3,mp-545482,P2_1/m,None
PdSeO3,mp-546684,C2/m,None
BaPbO3,mp-20461,C2/m,Orthorhombic Perovskite
BaPbO3,mp-20991,I4/mcm,None
BaPbO3,mp-21280,Pm-3m,(Cubic) Perovskite
BaPbO3,mp-22230,Imma,Orthorhombic Perovskite
BaPbO3,mp-561598,Pm-3m,(Cubic) Perovskite
CrBiO3,mp-23456,C2/c,None
CrBiO3,mp-546027,R3c,Corundum
CrBiO3,mp-559851,Pnma,Orthorhombic Perovskite
HgNCl3,mp-1069250,P4/mmm,None
CsMnBr3,mp-23048,P6_3/mmc,None
LiBiO3,mp-29077,Pccn,Ilmenite
NaClO3,mp-23330,P2_13,None
NaClO3,mp-555726,P2_13,None
NaClO3,mp-630949,P2_1/c,None
OsPbO3,mp-680932,Fd-3m,None
BaNiO3,mp-19138,P6_3/mmc,None
BaNiO3,mp-19241,P6_3mc,None
KSnF3,mp-28774,P-1,None
